Date, Close/Last, Volume, Open, High, Low
2019-01-04,47.86,4750792,45.99,48.0601,45.99
2019-01-03,45.61,4236231,46.48,46.57,44.61
2019-01-02,47.14,4080225,46.05,47.2,45.47
2018-12-31,46.48,3685089,46.94,47.14,46.055
2018-12-28,46.76,3135746,47.0,47.5,46.59
2018-12-27,46.8,3041219,46.27,46.82,45.11
2018-12-26,46.72,3914279,44.75,46.76,44.28
2018-12-24,44.4,3782172,45.56,45.69,44.35
2018-12-21,45.95,8191912,47.07,47.81,45.765
2018-12-20,47.07,4758491,48.52,48.88,46.4068
2018-12-19,48.78,4349173,49.37,49.98,48.35
2018-12-18,49.6,3558858,49.89,50.15,49.35
2018-12-17,49.39,5801623,49.84,50.105,48.53
2018-12-14,50.09,3998719,49.62,51.08,49.58
2018-12-13,50.34,6836971,50.88,51.0,49.36
2018-12-12,50.9,4117558,51.48,51.5,50.55
2018-12-11,51.08,2970921,51.58,51.61,50.68
2018-12-10,51.14,5006291,51.54,51.8,50.193999999999996
2018-12-07,51.36,6238266,53.23,53.39,51.14
2018-12-06,53.6,7595562,52.57,53.85,52.26
2018-12-04,52.8,5875851,53.62,54.17,52.13
2018-12-03,54.37,4040960,54.9,55.68,54.2289
2018-11-30,54.61,4545572,53.43,54.655,53.3
2018-11-29,53.23,2921878,52.82,53.57,52.82
2018-11-28,53.08,3813613,53.05,53.08,52.17
2018-11-27,52.79,6216848,53.08,53.97,52.69
2018-11-26,52.76,4301573,53.05,53.48,52.47
2018-11-23,52.68,2216560,52.72,53.218,52.16
2018-11-21,52.25,2952712,51.8,53.21,51.735
2018-11-20,51.57,3373513,51.84,52.37,51.33
2018-11-19,52.39,3006886,52.75,52.8412,52.075
2018-11-16,52.58,4767891,52.85,52.99,51.68
2018-11-15,53.23,5051670,52.0,53.5,51.73
2018-11-14,52.48,4345316,52.76,53.44,52.25
2018-11-13,52.73,6527869,52.1,53.0665,52.09
2018-11-12,51.89,3946751,52.4,52.72,51.54
2018-11-09,52.49,4229925,52.78,53.51,52.1245
2018-11-08,52.72,4633537,52.7,53.03,52.34
2018-11-07,52.88,4861892,52.1,53.31,51.95
2018-11-06,51.86,8060036,51.45,52.445,51.25
2018-11-05,51.42,6203829,51.67,51.78,51.06
2018-11-02,51.82,8386527,51.0,52.55,51.0
2018-11-01,50.95,6777838,49.3,51.04,49.3
2018-10-31,49.1,7565538,49.34,50.12,49.05
2018-10-30,49.15,8954348,47.36,49.18,47.25
2018-10-29,47.91,11200480,49.93,50.18,47.1
2018-10-26,49.58,10057370,49.9,50.18,48.33
2018-10-25,49.91,21635270,50.97,51.7,49.02
2018-10-24,54.59,6126031,57.76,57.79,54.36
2018-10-23,57.48,4245325,57.22,57.52,55.96
2018-10-22,57.87,4372977,58.14,58.53,57.16
2018-10-19,58.13,3757221,58.17,58.44,57.69
2018-10-18,57.96,3566319,59.16,59.16,57.77
2018-10-17,59.2,4663917,60.45,60.86,58.65
2018-10-16,58.94,4119552,57.8,59.141000000000005,57.51
2018-10-15,57.68,3324786,57.22,58.1852,57.18
2018-10-12,57.38,4011019,57.94,58.23,56.72
2018-10-11,57.03,7139158,57.92,58.75,56.43
2018-10-10,57.33,7915919,59.36,59.38,56.88
2018-10-09,59.49,7851866,60.65,60.7201,59.47
2018-10-08,60.62,3690728,60.9,61.07,60.1608
2018-10-05,61.05,3998172,61.68,61.865,60.67
2018-10-04,61.58,2474828,61.67,61.97,61.22
2018-10-03,61.68,4420726,61.38,62.0,61.26
2018-10-02,61.18,4032533,61.48,61.825,60.59
2018-10-01,61.7,4194979,62.61,63.2,61.54
2018-09-28,62.45,3018008,62.45,63.01,61.915
2018-09-27,62.71,4007796,62.5,63.16,62.44
2018-09-26,62.09,2351653,61.93,62.37,61.82
2018-09-25,61.65,3863977,62.0,62.34,61.12
2018-09-24,62.06,4472255,63.34,63.39,61.645
2018-09-21,63.77,7793789,62.69,64.02,62.67
2018-09-20,62.5,4310469,63.38,63.6297,62.42
2018-09-19,63.11,2756838,63.15,63.88,63.02
2018-09-18,63.05,2768726,63.0,63.23,62.11
2018-09-17,63.1,3644516,62.67,63.4625,62.61
2018-09-14,62.43,2926112,62.22,62.56,62.03
2018-09-13,62.36,3966162,61.55,62.84,61.5163
2018-09-12,61.37,5352498,62.95,63.0,61.25
2018-09-11,62.98,3074082,62.31,63.25,62.28
